sr no.,Wn,LL,PI,e0,Gs,cc
287,23.4,45,21,0.697,2.67,0.176
288,21.6,42,23,0.664,2.58,0.156
289,21.9,44,24,0.686,2.59,0.166
290,20.5,47,22,0.742,2.56,0.196
291,25.3,55,27,0.719,2.63,0.209
292,20,46,25,0.671,2.61,0.176
293,70,52,29,1.882,2.68,0.54
294,37.8,81,50,0.966,2.67,0.27
295,37.1,27,6,0.951,2.69,0.25
296,10.2,44,23,0.357,2.62,0.08
297,44,47,23,1.137,2.69,0.39
298,40.1,46,23,0.996,2.66,0.33
299,43,53,31,1.062,2.64,0.4
300,27.2,33,8,0.881,2.61,0.266
301,37.2,62,34,0.937,2.56,0.345
302,27.9,35,15,0.745,2.67,0.153
303,34.4,68,46,0.909,2.44,0.226
304,24.4,32,14,0.824,2.66,0.276
305,37,40,19,0.923,2.63,0.309
306,28.2,47,24,0.814,2.717,0.2
307,39.6,49,25,0.891,2.611,0.26
308,27.1,41,18,0.666,2.633,0.116
309,28.5,27,7,0.735,2.67,0.173
310,23,53,28,0.608,2.55,0.16
311,25.1,39,16,0.672,2.65,0.13
312,27.4,33,12,0.727,2.62,0.17
313,20.5,34,13,0.565,2.7,0.076
314,29.8,43,24,0.789,2.59,0.22
315,21.4,38,21,0.583,2.68,0.15
316,22.2,50,27,0.614,2.62,0.166
317,43.4,44,21,0.994,2.51,0.302
318,21.6,39,21,0.552,2.6,0.11
319,28.8,36,17,0.759,2.64,0.206
320,24.5,39,19,0.644,2.7,0.176
321,56.9,36,15,1.442,2.68,0.405
322,22.2,42,21,0.568,2.6,0.153
323,31.8,36,16,0.831,2.67,0.206
324,29.6,25,6,0.834,2.74,0.229
325,31,32,11,0.786,2.64,0.216
326,33.3,39,20,0.868,2.62,0.252
327,42.2,34,13,1.161,2.69,0.219
328,38.2,31,11,0.967,2.68,0.266
329,26.1,29,9,0.786,2.67,0.209
330,24.7,29,8,0.763,2.67,0.259
331,22.4,57,33,0.697,2.64,0.143
332,22.2,42,19,0.534,2.49,0.136
333,16.4,41,24,0.605,2.61,0.173
334,19.4,29,11,0.495,2.61,0.123
335,25,29,9,0.691,2.66,0.149
336,29.7,29,11,0.778,2.67,0.196
337,32.1,39,20,0.823,2.69,0.236
338,30.2,40,22,0.787,2.59,0.219
339,25.4,30,10,0.644,2.68,0.12
340,23.6,38,19,0.592,2.6,0.13
341,17.7,32,12,0.74,2.65,0.159
342,41.5,31,11,1.195,2.73,0.259
343,47.6,36,17,1.237,2.74,0.299
344,46.6,43,22,1.127,2.64,0.269
345,36.5,33,12,0.934,2.69,0.213
346,25.9,33,12,0.8,2.61,0.266
347,33.5,50,26,0.827,2.65,0.296
