Actual Y,Predicted Y
0.176,0.17467213
0.405,0.48887873
0.153,0.12576178
0.206,0.20569652
0.229,0.22743244
0.216,0.21266119
0.252,0.25360343
0.219,0.35177097
0.266,0.2654493
0.209,0.20800285
0.259,0.2582603
0.143,0.14569865
0.136,0.12648551
0.173,0.17376354
0.123,0.12301118
0.149,0.14896889
0.196,0.19575776
0.236,0.2332015
0.219,0.22044511
0.12,0.119464405
0.13,0.13072865
0.159,0.15903297
0.259,0.25937387
0.299,0.2989811
0.269,0.2689844
0.213,0.21346712
0.266,0.27411863
0.296,0.29547992
0.05,0.051348493
0.166,0.166246
0.166,0.1661514
0.173,0.17293918
0.199,0.19961719
0.12,0.2116947
0.259,0.26103392
0.176,0.17593087
0.163,0.16151538
0.322,0.3218449
0.209,0.20784934
0.209,0.21193875
0.266,0.26634896
0.176,0.24785464
0.306,0.345276
0.402,0.40276453
0.113,0.16808122
0.123,0.12301264
0.103,0.10771597
0.319,0.3179972
0.163,0.16730192
0.183,0.18134914
0.189,0.18878737
0.209,0.1862778
0.156,0.15580788
0.239,0.23902844
0.11,0.11147933
0.206,0.20478764
0.126,0.12747383
0.379,0.38057223
0.355,0.3551107
0.302,0.30232763
0.233,0.24610959
0.226,0.22332527
0.53,0.5298296
0.193,0.21434937
0.146,0.1459966
0.126,0.12579767
0.173,0.17303807
0.183,0.18352807
0.106,0.10535704
0.106,0.10599111
0.153,0.15278907
0.465,0.46368295
