Actual Y,Predicted Y
0.28,0.25839195394655806
0.126,0.1396214876513098
0.26,0.21952997944770042
0.196,0.2298179933180602
0.186,0.2205948878345342
0.219,0.18492050613995217
0.36,0.3471477501400249
0.5,0.5105932155851786
0.27,0.25831751568301387
0.375,0.2891826523173876
0.32,0.2753247546976058
0.183,0.15383972911503235
0.236,0.2131949832813817
0.196,0.23276761315070907
0.05,0.06342292648576843
0.266,0.20807843490999017
0.199,0.18310844039560772
0.149,0.1809482719413068
0.26,0.33257810983864333
0.27,0.27781043211099443
0.322,0.3109456756361343
0.216,0.24303333746383035
0.133,0.15674040374159337
0.136,0.17286564858865702
0.146,0.18386192915902305
0.37,0.331879402567614
0.163,0.16870967945666682
0.22,0.1913403412264147
0.32,0.3106475228792408
0.103,0.14555005941529206
0.236,0.20388767426425936
0.13,0.16510263851964466
0.3,0.24257684878481736
0.25,0.21373802191476876
0.11,0.1224755794894068
0.21,0.20204322306988187
0.163,0.15896774325627994
0.103,0.09449056805462305
0.159,0.18790272408099698
0.173,0.18630820917663635
0.153,0.1761114259888475
0.196,0.18926475461878756
0.206,0.16996079533121375
0.11,0.11759193377902252
0.259,0.22508993044371173
0.22,0.16230364680386536
0.29,0.2699737429303573
0.2,0.18664117655829293
0.21,0.19152993165144927
0.126,0.15213228988602887
0.28,0.2679338878226997
0.2,0.20289316403850127
0.176,0.17577452716739875
0.15,0.17902094519670286
0.2,0.2016958177707745
0.2,0.2192896737381173
0.169,0.15779611753927514
0.14,0.1352900759061066
0.18,0.1886174490139993
0.28,0.2758959883209219
0.26,0.28714840287580323
0.13,0.14771366115439682
0.16,0.15066497841785303
0.12,0.13815715149491714
0.11,0.15098423779524525
0.116,0.1500503678471733
0.29,0.28962492185685773
0.22,0.20504615949229615
0.22,0.20858649432686677
0.19,0.1898832683240904
0.123,0.14545228990875547
0.41,0.4097112778552533
0.27,0.292256157692998
0.15,0.14170999965361392
0.2,0.20150462639554403
0.17,0.1617562877472867
0.18,0.18407823879746701
0.156,0.14955175040000834
0.21,0.19136676888243861
0.216,0.1995209067313987
0.103,0.10529503306061577
0.31,0.2599643669247464
0.31,0.3057634603234267
0.11,0.11450172210510902
0.628,0.6121985684833248
0.365,0.3167953805709102
0.159,0.18899979539963405
0.256,0.25447962750018543
0.25,0.20529843275785103
0.146,0.16389222073754803
0.123,0.13889953947138178
0.166,0.1780043836050452
0.179,0.1932331484400126
0.229,0.19627947617373195
0.176,0.1889547803663942
0.269,0.2497118584075761
0.203,0.1943373851487245
0.183,0.20714809179443128
0.173,0.1793164807509552
0.13,0.13103892583764068
0.21,0.19586884031369212
0.173,0.177561971654029
0.186,0.17363586532234598
0.113,0.11897573208908697
0.256,0.2475607772745245
0.233,0.24912136794550982
0.249,0.24532725594101737
0.309,0.2698969629367931
0.249,0.2347760100764656
0.193,0.1921225725089977
0.266,0.19361033275630224
0.329,0.26794469411232297
0.183,0.18732579768865076
0.203,0.24934849983898344
0.159,0.18688636109454146
0.272,0.25624175907212904
0.123,0.15003345035100185
0.226,0.19412691041448554
0.103,0.10380512568491035
0.329,0.28125440459502365
0.259,0.26432696870717104
0.249,0.2725192785107348
0.249,0.2543138154192894
0.153,0.16889585981896865
0.229,0.27579921386223105
0.326,0.32402714910647284
0.226,0.2534986654518593
0.163,0.15576267638066615
0.279,0.20918348050149196
0.302,0.262457442308093
0.149,0.19538684600351233
0.196,0.24863524894963432
0.159,0.17710572434623756
0.156,0.17515497072320318
0.173,0.1812254550206268
0.11,0.10815057049131144
0.149,0.15231178019558017
0.149,0.10665431307693947
0.22,0.1893180048637232
0.149,0.16476305763416638
0.143,0.16727553168643364
0.169,0.18812785140205296
0.176,0.17969042727858667
0.189,0.18082380114522012
0.213,0.19687250172190346
0.252,0.28220725775167993
0.153,0.17902854603553497
0.13,0.13917317173734622
0.163,0.1670377543843222
0.11,0.11185730000233468
0.103,0.12351083605910969
0.183,0.15016397099648657
0.186,0.21194385482748268
0.209,0.224521851671807
0.196,0.18840912755994504
0.203,0.17921008226273008
0.196,0.18218002337613515
0.4,0.39002627984581384
0.163,0.18858061892544126
0.133,0.14827161231450525
0.199,0.1982213701477031
0.186,0.20083417163810546
0.166,0.17212144070881258
0.213,0.2016958177707745
0.199,0.19979285616535125
0.14,0.1668442016400659
0.159,0.17602977190617938
0.149,0.1430866490047227
0.14,0.1436122979007936
0.183,0.17381650612890914
0.13,0.13387561535828352
0.173,0.1762246318510153
0.103,0.15388161868038727
0.166,0.16114578666997073
0.206,0.16109680458053913
0.146,0.14521071715711378
0.196,0.18296094372809474
0.189,0.1688600799261302
0.282,0.27582856112713827
0.246,0.2384525414716686
0.176,0.2016958177707745
0.209,0.2109326479414527
0.229,0.2237735022563221
0.14,0.14085345204682864
0.163,0.1737468695899218
0.183,0.18904332549643688
0.173,0.20051925773190182
0.14,0.1502104019293741
0.279,0.20816126044137498
0.193,0.18113359139714166
0.183,0.16293443919832537
0.252,0.23547465020749875
0.229,0.15930871639929095
0.143,0.17508962771721687
0.186,0.22299542007361245
0.173,0.1950195144302307
0.149,0.19538684600351233
0.196,0.24863524894963432
0.159,0.17710572434623756
0.173,0.1812254550206268
0.156,0.16161385783311635
0.163,0.18858061892544126
0.133,0.14827161231450525
0.199,0.1982213701477031
0.279,0.25839195394655806
0.126,0.1396214876513098
0.126,0.13287929663906464
0.146,0.1567675448131662
0.106,0.12704556579082468
0.179,0.22696673013514818
0.246,0.2621898924047804
0.213,0.1953963825938278
0.246,0.21195308336769103
0.223,0.24863524894963432
0.166,0.16166623838806463
0.169,0.16358668154371625
0.169,0.16679417527705753
0.226,0.19391321517589902
0.159,0.16160951068435225
0.216,0.19971061215319014
0.249,0.25656662349623804
0.252,0.2522954816431579
0.12,0.13838019490614548
0.156,0.14686970640411698
0.216,0.19250146920010813
0.156,0.17680001950129534
0.183,0.1793164807509552
0.159,0.1785190025295681
0.256,0.2600538297773198
0.159,0.18619086366332868
0.11,0.12008954212129953
0.159,0.11929174259131146
0.106,0.14703855309006167
0.09,0.09750586863064026
0.189,0.19697073134511128
0.09,0.11846178409744343
0.149,0.14516948590101816
0.156,0.15371156554480248
0.209,0.19244586190199903
0.203,0.2303100574049222
0.249,0.2364076089074424
0.169,0.198702602898732
0.223,0.19585693367244975
0.189,0.16995059902781925
0.199,0.20490093189299127
0.166,0.15077112592767408
0.14,0.16795730200991724
0.169,0.16777561760267015
0.173,0.15246323239969026
0.183,0.16827252924508018
0.113,0.1633362158765081
0.219,0.20295076627368222
0.213,0.1958424618636102
0.153,0.17700354389644302
0.409,0.4126376231931653
0.259,0.26895544877751093
0.385,0.36906896937953154
0.176,0.1846457602685497
0.306,0.2882299913781653
0.209,0.22954247737071673
0.355,0.35067028086784696
0.312,0.25932754254274476
0.379,0.3476907237962836
0.246,0.27055993522025207
0.259,0.2094990321322267
0.296,0.2545374079455695
0.229,0.22956018297101433
0.233,0.2226595587517628
0.163,0.1737468695899218
0.183,0.18904332549643688
0.259,0.21058066956124707
0.093,0.12727203971464104
0.189,0.18175134044226549
0.259,0.21058066956124707
0.233,0.2226595587517628
0.183,0.24414134345177346
0.225,0.1835822723995982
0.279,0.2654687069955687
